index,Name,Movie Word Count,Movie Characters Count,Link,Year,Director,Studio,Running Time,ProducedBy,WrittenBy,ScreenplayBy,StoryBy,Starring,MusicBy,Cinematography,EditedBy,DistributedBy,ReleaseDate,Release Day,BoxOffice
118,Unarvu,2,6,https://en.wikipedia.org/wiki/Unarvu,2019,Subu Venkat,Amrutha Film Center,0, Shekar Jayaram,0,0,0," Suman
Aroul D. Shankar
Ankitha Navya
Shinav", Nakul Abhyankar, David Jan, P. Chandan,0,19-Jul-19,6,0
119,A1,1,2,https://en.wikipedia.org/wiki/A1_(2019_film),2019,Johnson,CircleBox Entertainment,109 minutes, S. Raj Narayanan, Johnson K,0,0," Santhanam
Tara Alisha Berry", Santhosh Narayanan, Gopi Jagadeeswaran, Leo John Paul, SP Chowdhary – 18 Reels,26-Jul-19,6,0
120,Aaradi,1,6,,2019,Santhosh,Shiva Kudumbam Films,,,,,,,,,,,,7,
121,Chennai Palani Mars,1,19,https://en.wikipedia.org/wiki/Chennai_Palani_Mars,2019,Biju Viswanath,Vijay Sethupathi Productions,0," Biju Viswanath
Vijay Sethupathi"," Biju Viswanath
Vijay Sethupathi (dialogues)",0,0," Praveen Raja
Rajesh Giriprasad
Vasant Marimuthu", Niranjan Babu, Biju Viswanath, Biju Viswanath,0,26-Jul-19,6,0
122,Kolanji,3,7,https://en.wikipedia.org/wiki/Kolanji,2019,Dhanaram Saravanan,White Shadows Productions,0, Naveen," Dhanaram Saravanan
Naveen",0,0," Samuthirakani
Sanghavi
Rajaji
Naina Sarwar
Kirubakaran", Natarajan Sankaran, Vijayan Munusamy, Athiyappan Siva,0,26-Jul-19,6,0
123,Jackpot,1,7,https://en.wikipedia.org/wiki/Jackpot_(2019_film),2019,Kalyaan,2D Entertainment,128 minutes, Suriya,0,0,0," Jyothika
Revathi
Yogi Babu
Anandaraj", Vishal Chandrasekhar, R. S. Anandakumar, Vijay Velukutty, Sakthi Film Factory,02-Aug-19,6,0
124,Kazhugu 2,1,9,https://en.wikipedia.org/wiki/Kazhugu_2,2019,Sathyasiva,Madukkur Movie Makers,0, Manobala,0, Sathyasiva, Sathyasiva," Krishna Sekhar
Bindu Madhavi
Kaali Venkat", Yuvan Shankar Raja, Raja Bhattacharjee, Gopi Krishna,0,01-Aug-19,5,0
125,Thorati,2,7,https://en.wikipedia.org/wiki/Thorati,2019,P. Marimuthu,Shaman Pictures,128 minutes, Shaman Mithru,0,0,0," Shaman Mithru
Sathyakala"," Ved Shankar
Jithin K. Roshan", Kumar Sridhar, Raja Mohammad, SDC Picturez,02-Aug-19,6,0
126,Nerkonda Paarvai,1,16,https://en.wikipedia.org/wiki/Nerkonda_Paarvai,2019,H. Vinoth,Zee Studios,158 minutes, Boney Kapoor," H. Vinoth
Shoojit Sircar
Ritesh Shah
Aniruddha Roy Chowdhury",0,0," Ajith Kumar
Shraddha Srinath
Abhirami Venkatachalam
Andrea Tariang", Yuvan Shankar Raja, Nirav Shah, Gokul Chandran," S Pictures, Kandhasamy Arts",08-Aug-19,5, ₹108–181.45 crore
127,Kolaiyuthir Kaalam,2,18,https://en.wikipedia.org/wiki/Kolaiyuthir_Kaalam,2019,Chakri Toleti,Etcetera Entertainment,0, V. Mathiyalagan," Adam Hiebeler,
Carl Lauricella",0,0," Nayanthara
Bhumika Chawla
Pratap K. Pothen
Rohini Hattangadi", Achu Rajamani, Cory Greyak, Rameshwar S. Bhagat,0,09-Aug-19,6,0
128,Reel,2,4,,2019,Munuswamy,Sree Muruka Movie Makers,,,,,,,,,,,,7,
129,Seemapuram,1,10,,2019,Jolyman,JTR Movie,,,,,,,,,,,,7,
130,Valaiyal,1,8,,2019,A. Gurusekara,BR Movie Makers,,,,,,,,,,,,7,
131,Comali,1,6,https://en.wikipedia.org/wiki/Comali,2019,Pradeep Ranganathan,Vels Films International,0, Ishari K. Ganesh, Pradeep Ranganathan,0,0,"
Jayam Ravi
Kajal Aggarwal", Hiphop Tamizha, Richard M. Nathan, Pradeep E. Ragav, Sakthi Film Factory,15-Aug-19,5, ₹38–41 crore
132,Maankutty,1,9,,2019,M. Boobalan,V. N. Balan Pictures,,,,,,,,,,,,7,
133,Puli Adichan Patti,1,18,,2019,Vaidyaa,Kudavarasi Movie Creations,,,,,,,,,,,,7,
134,Kennedy Club,3,12,https://en.wikipedia.org/wiki/Kennedy_Club,2019,Suseenthiran,Nallusamy Pictures,118 minutes, D. N. Thaisaravanan, Suseenthiran,0,0," Sasikumar
Bharathiraja
Meenakshi Govindarajan
Soori", D. Imman, R. B. Gurudev, Anthony,0,22-Aug-19,5,0
135,Bakrid,2,6,https://en.wikipedia.org/wiki/Bakrid_(film),2019,Jagadeesan Subu,M10 Productions,122 minutes, M.S. Murugaraj M.M.P.Vigneshwar,0,0,0," Vikranth
Vasundhara", D. Imman, Jagadeesan Subu, Ruben,0,23-Aug-19,6,0
136,Mei,1,3,https://en.wikipedia.org/wiki/Mei_(film),2019,S. A. Bhaskaran,Sundaram Productions,112 minutes,0,0, SA Baskaran, Sentha Murugesan," Nicky Sundaram
Aishwarya Rajesh
Kishore", Prithvi Kumar & Anil Johnson (BGM), VN Mohan, Preethi Mohan,0,23-Aug-19,6,0
137,Mayuran,1,7,https://en.wikipedia.org/wiki/Mayuran,2019,Nandan Subbrayan,Pinnacle Film Studio,0," K. Ashokkumar
P. Raman
G. Chandrasekaran
M. P. Karthick",0,0,0," Anjan Dev
Ashmitha Dogra
Vela Ramamoorthy"," Jubin
Jerard Felix", Parameshwar, Ignatius Ashwin,0,30-Aug-19,6,0
138,Saaho,1,5,https://en.wikipedia.org/wiki/Saaho,2019,Sujeeth,UV Creations,171 minutes,"
Vamsi Krishna Reddy
Pramod Uppalapati","
Sujeeth
(Story, Screenplay, Telugu dialogue)
K. G. R. Ashok
(Tamil dialogue)
Abbas Dalal
Hussain Dalal
(Hindi dialogue)",0,0,"
Prabhas
Shraddha Kapoor","
Score:
Ghibran
Songs:
Tanishk Bagchi
Guru Randhawa
Badshah
Shankar–Ehsaan–Loy", R. Madhi, A. Sreekar Prasad," AA Films (India)
Yash Raj Films
Phars Film (International)",30-Aug-19,6, ₹433 crore
139,Sixer,1,5,https://en.wikipedia.org/wiki/Sixer_(2019_film),2019,Chachi,Trident Arts,128 minutes," R. Dinesh Kannan
Sridhar", Chachi, Chachi,0," Vaibhav
Palak Lalwani
Sathish", M. Ghibran, P. G. Muthiah, Jomin,0,30-Aug-19,6,0
140,Magamuni,1,8,https://en.wikipedia.org/wiki/Magamuni,2019,Santhakumar,Studio Green,156 minutes, K. E. Gnanavel Raja, Santhakumar,0, Santhakumar,"
Arya
Indhuja Ravichandran
Mahima Nambiar", S. Thaman, Arun Bathmanaban, V. J. Sabu Joseph, Tarun Pictures,06-Sep-19,6,0
141,Sivappu Manjal Pachai,1,21,https://en.wikipedia.org/wiki/Sivappu_Manjal_Pachai,2019,Sasi,Abhishek Films,142 minutes, Ramesh P Pillai, Sasi,0,0," Siddharth
GV Prakash
Lijomol Jose
Kashmira Pardeshi", Siddhu Kumar, Prasanna Kumar, San Lokesh,0,06-Sep-19,6,0
142,Zombie,3,6,https://en.wikipedia.org/wiki/Zombie_(2019_film),2019,Bhuvan Nullan,S3 Pictures,128 minutes, Vasanth Mahalingam and V. Muthukumar, Bhuvan Nullan,0,0," Yogi Babu
Yashika Aannand", Premgi Amaren, Vishushri K, Dinesh Ponraj,0,06-Sep-19,6,0
143,En Kaadhali Scene Podura,1,24,https://en.wikipedia.org/wiki/En_Kaadhali_Scene_Podura,2019,Ram Sevaa,Shankar Movies International,0, Joseph Baby,0,0,0," Mahesh
Shalu Chourasiya", Amresh Ganesh, Venkat, A. Marish,0,13-Sep-19,6,0
144,Ongala Podanum Sir,4,18,https://en.wikipedia.org/wiki/Ongala_Podanum_Sir,2019,R. L. Ravi-Sreejith Vijayan,Zigma Films,0, Manoj," Siva Anchal,
Sajith S.
Ishaque",0,0," Jithan Ramesh
Sanuja Somnadh
Joniha Doda
Anu Nair
Parijitha Singa
Vaishaly", Rejimon, S Selva Kumar, Vishnu Narayanan,0,13-Sep-19,6,0
145,Perunali,3,8,,2019,Citizen Mani,Margaret Anthony,,,,,,,,,,,,7,
146,Kaappaan,1,8,https://en.wikipedia.org/wiki/Kaappaan,2019,K. V. Anand,Lyca Productions,163 minutes, Subaskaran Allirajah," Pattukkottai Prabakar
R. M. Muthu Ganesan (Dialogues)"," K. V. Anand
Pattukkottai Prabakar"," K. V. Anand
Pattukkottai Prabakar","
Suriya
Mohanlal
Arya
Sayyeshaa Saigal
Boman Irani
Samuthirakani
Chirag Jani", Harris Jayaraj," M. S. Prabhu
Abinandhan Ramanujam", Anthony, Reliance Entertainment,20-Sep-19,6,0
147,Oththa Seruppu Size 7,1,21,https://en.wikipedia.org/wiki/Oththa_Seruppu_Size_7,2019,Parthiepan,Bioscope Film Framers,105 minutes, R. Parthiepan, R. Parthiepan,0,0, R. Parthiepan,"
Santhosh Narayanan
(One Song)
C. Sathya
(Background Score)", Ramji, R. Sudharsan,0,"
30 August 2019 (Singapore South Asian Film Festival)
20 September 2019 (India)",6, 10.5 crore
